service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DEMO_EXPRESS,23,7501,8001,2325420,,,Domestic Standard,J42
DEMO_EXPRESS,22,7501,8001,3174930,,,Domestic Standard,K42
DEMO_EXPRESS,21,7501,8001,3570840,,,Domestic Standard,L42
DEMO_EXPRESS,20,7501,8001,5893470,,,Domestic Standard,M42
DEMO_EXPRESS,23,8001,8501,2455920,,,Domestic Standard,J43
DEMO_EXPRESS,22,8001,8501,3313440,,,Domestic Standard,K43
DEMO_EXPRESS,21,8001,8501,3707370,,,Domestic Standard,L43
DEMO_EXPRESS,20,8001,8501,6145110,,,Domestic Standard,M43
DEMO_EXPRESS,23,8501,9001,2586690,,,Domestic Standard,J44
DEMO_EXPRESS,22,8501,9001,3453210,,,Domestic Standard,K44
DEMO_EXPRESS,21,8501,9001,3844080,,,Domestic Standard,L44
DEMO_EXPRESS,20,8501,9001,6395940,,,Domestic Standard,M44
DEMO_EXPRESS,23,9001,9501,2718450,,,Domestic Standard,J45
DEMO_EXPRESS,22,9001,9501,3590550,,,Domestic Standard,K45
DEMO_EXPRESS,21,9001,9501,3978900,,,Domestic Standard,L45
DEMO_EXPRESS,20,9001,9501,6646230,,,Domestic Standard,M45
DEMO_EXPRESS,23,9501,10001,2849310,,,Domestic Standard,J46
DEMO_EXPRESS,22,9501,10001,3729600,,,Domestic Standard,K46
DEMO_EXPRESS,21,9501,10001,4115610,,,Domestic Standard,L46
DEMO_EXPRESS,20,9501,10001,6896970,,,Domestic Standard,M46
DEMO_EXPRESS,23,10001,11001,3110760,,,Domestic Standard,J47
DEMO_EXPRESS,22,10001,11001,4006890,,,Domestic Standard,K47
DEMO_EXPRESS,21,10001,11001,4388220,,,Domestic Standard,L47
DEMO_EXPRESS,20,10001,11001,7400610,,,Domestic Standard,M47
DEMO_EXPRESS,23,11001,12001,3372930,,,Domestic Standard,J48
DEMO_EXPRESS,22,11001,12001,4283010,,,Domestic Standard,K48
DEMO_EXPRESS,21,11001,12001,4660290,,,Domestic Standard,L48
DEMO_EXPRESS,20,11001,12001,7901730,,,Domestic Standard,M48
DEMO_EXPRESS,23,12001,13001,3633750,,,Domestic Standard,J49
DEMO_EXPRESS,22,12001,13001,4561560,,,Domestic Standard,K49
DEMO_EXPRESS,21,12001,13001,4934520,,,Domestic Standard,L49
DEMO_EXPRESS,20,12001,13001,8403840,,,Domestic Standard,M49
DEMO_EXPRESS,23,13001,14001,3895650,,,Domestic Standard,J50
DEMO_EXPRESS,22,13001,14001,4838310,,,Domestic Standard,K50
DEMO_EXPRESS,21,13001,14001,5207310,,,Domestic Standard,L50
DEMO_EXPRESS,20,13001,14001,8906940,,,Domestic Standard,M50
DEMO_EXPRESS,23,14001,15001,4157100,,,Domestic Standard,J51
DEMO_EXPRESS,22,14001,15001,5115240,,,Domestic Standard,K51
DEMO_EXPRESS,21,14001,15001,5479200,,,Domestic Standard,L51
DEMO_EXPRESS,20,14001,15001,9408060,,,Domestic Standard,M51
DEMO_EXPRESS,23,15001,16001,4412970,,,Domestic Standard,J52
DEMO_EXPRESS,22,15001,16001,5386410,,,Domestic Standard,K52
DEMO_EXPRESS,21,15001,16001,5752080,,,Domestic Standard,L52
DEMO_EXPRESS,20,15001,16001,9909540,,,Domestic Standard,M52
DEMO_EXPRESS,23,16001,17001,4668390,,,Domestic Standard,J53
DEMO_EXPRESS,22,16001,17001,5655060,,,Domestic Standard,K53
